n_x, n_y, n_z, o_x, o_y, o_z, a_x, a_y, a_z, x, y, z
-0.913802, -0.278993, 0.295177, 2.522860, -0.405496, 0.585112, -0.702294, 2.113788, 0.023223, -0.761450, -0.647807, 7.232430
-0.913238, -0.280094, 0.295877, 2.509130, -0.406737, 0.584525, -0.702065, 2.133471, 0.023697, -0.761497, -0.647735, 7.233452
-0.912673, -0.281194, 0.296578, 2.495292, -0.407976, 0.583935, -0.701837, 2.153082, 0.024169, -0.761544, -0.647662, 7.234474
-0.912106, -0.282291, 0.297280, 2.481347, -0.409214, 0.583342, -0.701609, 2.172620, 0.024642, -0.761593, -0.647587, 7.235495
-0.911537, -0.283387, 0.297982, 2.467297, -0.410451, 0.582746, -0.701382, 2.192084, 0.025114, -0.761642, -0.647511, 7.236515
-0.910966, -0.284480, 0.298685, 2.453139, -0.411688, 0.582147, -0.701154, 2.211473, 0.025586, -0.761692, -0.647433, 7.237535
-0.910393, -0.285572, 0.299388, 2.438876, -0.412923, 0.581546, -0.700927, 2.230788, 0.026058, -0.761743, -0.647354, 7.238554
-0.909818, -0.286662, 0.300092, 2.424508, -0.414158, 0.580941, -0.700701, 2.250027, 0.026529, -0.761796, -0.647274, 7.239572
-0.909242, -0.287750, 0.300797, 2.410035, -0.415391, 0.580333, -0.700474, 2.269191, 0.027000, -0.761849, -0.647192, 7.240589
-0.908664, -0.288837, 0.301502, 2.395457, -0.416624, 0.579722, -0.700248, 2.288278, 0.027470, -0.761903, -0.647109, 7.241606
-0.908084, -0.289921, 0.302208, 2.380775, -0.417855, 0.579108, -0.700022, 2.307288, 0.027940, -0.761958, -0.647024, 7.242621
-0.907502, -0.291004, 0.302914, 2.365990, -0.419086, 0.578491, -0.699796, 2.326220, 0.028410, -0.762014, -0.646937, 7.243637
